Local time,Open,High,Low,Close,Volume
11.10.2021 00:00:00.000 GMT+0800,1.15721,1.15721,1.15721,1.15721,0
11.10.2021 01:00:00.000 GMT+0800,1.15721,1.15721,1.15721,1.15721,0
11.10.2021 02:00:00.000 GMT+0800,1.15721,1.15721,1.15721,1.15721,0
11.10.2021 03:00:00.000 GMT+0800,1.15721,1.15721,1.15721,1.15721,0
11.10.2021 04:00:00.000 GMT+0800,1.15721,1.15721,1.15721,1.15721,0
11.10.2021 05:00:00.000 GMT+0800,1.15674,1.1572,1.15662,1.15715,878.43
11.10.2021 06:00:00.000 GMT+0800,1.15713,1.15759,1.15688,1.15692,999.73
11.10.2021 07:00:00.000 GMT+0800,1.15694,1.15697,1.15636,1.15653,600.28
11.10.2021 08:00:00.000 GMT+0800,1.15655,1.15777,1.15649,1.15745,1577.88
11.10.2021 09:00:00.000 GMT+0800,1.15746,1.15792,1.15724,1.15738,1846.86
11.10.2021 10:00:00.000 GMT+0800,1.15737,1.15757,1.15705,1.15707,826.99
11.10.2021 11:00:00.000 GMT+0800,1.15708,1.15723,1.15681,1.15722,1327.37
11.10.2021 12:00:00.000 GMT+0800,1.1572,1.15728,1.15697,1.15723,539.66
11.10.2021 13:00:00.000 GMT+0800,1.15722,1.15754,1.15712,1.15732,1352.79
11.10.2021 14:00:00.000 GMT+0800,1.15735,1.15867,1.15722,1.15829,3730.04
11.10.2021 15:00:00.000 GMT+0800,1.15829,1.15837,1.15713,1.15738,4694.62
11.10.2021 16:00:00.000 GMT+0800,1.1574,1.15758,1.15641,1.15698,4312.45
11.10.2021 17:00:00.000 GMT+0800,1.15699,1.15715,1.15521,1.15553,4134.99
11.10.2021 18:00:00.000 GMT+0800,1.15552,1.15672,1.15538,1.15662,3218.32
11.10.2021 19:00:00.000 GMT+0800,1.15662,1.15731,1.1561,1.15683,2886.83
11.10.2021 20:00:00.000 GMT+0800,1.15683,1.15738,1.15599,1.15611,4894.34
11.10.2021 21:00:00.000 GMT+0800,1.15612,1.15799,1.15611,1.15767,4318.63
11.10.2021 22:00:00.000 GMT+0800,1.15768,1.15837,1.15717,1.15721,3775.69
11.10.2021 23:00:00.000 GMT+0800,1.1572,1.15748,1.1571,1.15723,2055.38
12.10.2021 00:00:00.000 GMT+0800,1.15723,1.15724,1.15623,1.15634,1427.72
12.10.2021 01:00:00.000 GMT+0800,1.15634,1.15644,1.1557,1.15574,1134.45
12.10.2021 02:00:00.000 GMT+0800,1.15577,1.15606,1.15556,1.15593,704.27
12.10.2021 03:00:00.000 GMT+0800,1.1559,1.156,1.15501,1.15501,1241.78
12.10.2021 04:00:00.000 GMT+0800,1.15501,1.15545,1.15489,1.15513,895.02
12.10.2021 05:00:00.000 GMT+0800,1.1551,1.15555,1.15497,1.15546,2776.64
12.10.2021 06:00:00.000 GMT+0800,1.1555,1.1555,1.15489,1.15491,750.885
12.10.2021 07:00:00.000 GMT+0800,1.15492,1.15543,1.15478,1.15532,537.32
12.10.2021 08:00:00.000 GMT+0800,1.15533,1.1554,1.15471,1.15491,2005.18
12.10.2021 09:00:00.000 GMT+0800,1.15492,1.15529,1.15476,1.15496,2137.18
12.10.2021 10:00:00.000 GMT+0800,1.15496,1.15574,1.15489,1.15562,1164.49
12.10.2021 11:00:00.000 GMT+0800,1.15563,1.15607,1.15563,1.15595,968.91
12.10.2021 12:00:00.000 GMT+0800,1.15595,1.15602,1.15557,1.15562,337.18
12.10.2021 13:00:00.000 GMT+0800,1.15562,1.15633,1.15562,1.15611,1118.22
12.10.2021 14:00:00.000 GMT+0800,1.15612,1.15703,1.15602,1.15684,3013.35
12.10.2021 15:00:00.000 GMT+0800,1.15683,1.15686,1.15552,1.15558,3719.14
12.10.2021 16:00:00.000 GMT+0800,1.15558,1.15648,1.15556,1.15619,3252.1
12.10.2021 17:00:00.000 GMT+0800,1.15618,1.1567,1.15566,1.15578,3497.85
12.10.2021 18:00:00.000 GMT+0800,1.15579,1.15614,1.1551,1.15522,3371.41
12.10.2021 19:00:00.000 GMT+0800,1.15522,1.15584,1.15499,1.15561,3934.35
12.10.2021 20:00:00.000 GMT+0800,1.15562,1.15585,1.15332,1.15416,6444.96
12.10.2021 21:00:00.000 GMT+0800,1.15418,1.15479,1.15348,1.15438,8380.25
12.10.2021 22:00:00.000 GMT+0800,1.15439,1.15493,1.15336,1.15481,6020.64
12.10.2021 23:00:00.000 GMT+0800,1.15482,1.15501,1.1534,1.15402,4372.23
13.10.2021 00:00:00.000 GMT+0800,1.15402,1.15418,1.1525,1.15282,3175.79
13.10.2021 01:00:00.000 GMT+0800,1.15281,1.15295,1.15242,1.15255,2293.14
13.10.2021 02:00:00.000 GMT+0800,1.15254,1.15333,1.15247,1.15297,1690.93
13.10.2021 03:00:00.000 GMT+0800,1.15297,1.15348,1.15293,1.15326,1235.1
13.10.2021 04:00:00.000 GMT+0800,1.15323,1.15323,1.15291,1.15298,1025.68
13.10.2021 05:00:00.000 GMT+0800,1.15298,1.15309,1.15287,1.153,350.42
13.10.2021 06:00:00.000 GMT+0800,1.15301,1.15331,1.15292,1.15319,734.79
13.10.2021 07:00:00.000 GMT+0800,1.1532,1.15325,1.15303,1.15304,687.49
13.10.2021 08:00:00.000 GMT+0800,1.15305,1.15425,1.15299,1.15411,2595.02
13.10.2021 09:00:00.000 GMT+0800,1.15412,1.15521,1.15406,1.15509,2390.82
13.10.2021 10:00:00.000 GMT+0800,1.1551,1.15556,1.15506,1.15525,1469.21
13.10.2021 11:00:00.000 GMT+0800,1.15526,1.15535,1.15502,1.15513,1066.52
13.10.2021 12:00:00.000 GMT+0800,1.15514,1.15535,1.15505,1.15524,727.79
13.10.2021 13:00:00.000 GMT+0800,1.15524,1.15531,1.15493,1.15504,1025.5
13.10.2021 14:00:00.000 GMT+0800,1.15503,1.1553,1.1547,1.15512,3184.36
